stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,143.02,0,179.8,8.17,16.35,0,4.09,0,0,0,24.52,0,0,0,0,40.86,36.78,65.38,412.73,0,0,0,155.28,6611.8,0,0,0,44.95,0,0,0,0,12.26,0,0,0
72hpf,14.98,11.77,0,10.7,3.21,5.35,0,0,0,0,0,0,0,0,0,0,4.28,16.05,0,32.09,0,1.07,1.07,20.33,71.68,0,0,0,10.7,0,1.07,5.35,0,1.07,0,0,0
21Day,4.02,1.34,0,13.39,0,1.34,0,0,0,0,1.34,0,0,0,1.34,1.34,2.68,6.69,2.68,14.72,0,1.34,1.34,4.02,14.72,0,0,0,2.68,2.68,77.63,2.68,1.34,0,0,2.68,4.02
3Month,1.6,9.6,2.88,30.08,0.32,0,1.28,0,9.92,8.64,0,0,59.19,18.24,1.6,18.24,6.4,10.24,12.16,23.68,6.08,3.2,2.88,2.56,0.96,4.48,0.96,0,0.96,15.68,1658.94,2.24,0,0,9.92,174.37,11.84
22Month,0,56.85,0.55,13.67,0,0,1.64,0,3.28,8.2,3.83,0,32.25,0,0,3.28,0.55,0,1.64,13.12,1.64,0.55,0,2.19,0,0,0.55,228.5,0,2.19,241.07,2.73,0,0,0.55,0.55,1.09
