stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,0,8.17,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,4.28,3.21,6.42,0,0,0,0,0,0,0,0,0,0,0,23.54,3.21,11.77,0,0,0,1.07,1249.52,96.28,1.07,6.42,14.98,1.07,0,13.91,0,3.21,0,0
21Day,6.69,0,0,14.72,0,9.37,0,0,0,0,0,0,1.34,0,5.35,5.35,0,9.37,2.68,14.72,0,0,1.34,0,447.07,42.83,5.35,1.34,5.35,16.06,0,5.35,2.68,0,0,1.34
3Month,0.32,0.32,0.64,4.48,0,0,0,0.32,0.32,1.28,0,0,7.36,1.92,0.32,4.48,0.64,1.92,0,1.92,0.32,0,0.64,1.28,10.24,0.96,6.72,0.64,0,0,10.56,0,0,0,0.32,0.96
22Month,0,1.64,0,3.28,0,0,0.55,0,1.09,3.28,2.19,0,27.88,0.55,1.09,3.28,0,1.64,4.37,7.65,0.55,0.55,0.55,0.55,8.2,0,9.29,1.64,0,0,0,2.19,0,0,0,1.09
