stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,16.35,102.16,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,4.28,0,4.28,2.14,1.07,0,0,0,0,0,1.07,12.84,1.07,6.42,0,0,0,0,483.55,12.84,2.14,3.21,8.56,0,1.07,3.21,0,0,0,0,0
21Day,4.02,2.68,1.34,13.39,2.68,0,0,0,0,1.34,0,0,5.35,2.68,5.35,0,0,1.34,0,117.79,10.71,1.34,8.03,0,4.02,0,4.02,0,1.34,0,0,0
3Month,0,13.76,0.32,2.24,0,0,0.96,0,4.16,0.32,0.96,0,5.76,0.64,10.56,0.32,0,0.64,1.28,2.24,0.32,3.52,1.92,0,0,3.84,2.56,0,0,0.64,0.96,2.24
22Month,0,8.75,0.55,5.47,0,0,3.28,1.64,12.03,0.55,0.55,0,0,1.09,14.21,0,0.55,0,0,2.73,0.55,11.48,0.55,0.55,0,1.64,14.21,0.55,0,0,0,0.55
