stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,2.14,0,4.28,173.31,6.42,1.07,1.07,0,3.21,1.07,0
21Day,1.34,0,1.34,0,0,0,0,1.34,5.35,54.88,4.02,0,1.34,0,0,0,1.34
3Month,0,0,0.64,0,0,0.64,0,0,0.32,1.6,0,0,0,0,0,0,0
22Month,0,0.55,0,0.55,4.92,0,0,0,0.55,0,0,0,0,0.55,0,0,0
