stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,0,0,0,0
3Month,1.28,0.96,0,0.32,0.64,1.92,0.96,0.64,0.96,0.96,0.64,0.32,0.32,0,171.81,0.96,2.56,1.28,0,0.96,0.32,4.8,0.32
22Month,0.55,0,0,0,0,2.73,0,0,0,0,0.55,0,0,0,27.88,0,0,0,0.55,0,0,0,0
