stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,20.43,0,0,0,0,0,0,0,0,4.09,8.17,0,8.17,126.68,4.09,0,0,0,0,0
72hpf,2.14,9.63,29.95,6.42,2.14,0,0,0,0,1.07,4.28,0,10.7,1.07,7.49,33.16,0,20.33,0,49.21,0,2.14
21Day,4.02,8.03,37.48,1.34,4.02,1.34,0,0,1.34,0,9.37,0,76.3,14.72,5.35,22.76,0,26.77,5.35,8.03,1.34,0
3Month,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,1.09,0.55,0,0.55,0.55,0,3.28,0,0,0.55,0,0,0,0,0,0
