stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,3.21,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,5.35,0,0,0,0,5.35,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,2.68,4.02,1.34,0,0,0
3Month,0.96,5.76,14.72,0,3.2,3.84,0,28.8,6.72,0.32,20.8,2.88,3.84,2.56,4.8,0.32,0.64,1.28,1.92,3.2,0,1.6,2.56,0.32,5.44,104.94,0.64,0,0,0,1.6,1146.38,3.84
22Month,6.01,4.37,6.01,0,1.09,2.73,2.19,33.89,1.64,1.64,27.88,0,1.09,3.83,8.2,0,0,1.09,0,0,0,2.73,0.55,0,0,63.96,0.55,0,0,0,0,4.37,1.64
