stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,0,0,1.34,0,1.34,1.34,13.39
22Month,0,0,2.19,0.55,0,0,0,0,0
