stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,339.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,13.91,1.07,0,0,0,0,0,0,0,0,3.21,1.07,18.19,0,0,2.14,10.7,51.35,0,1.07,28.88,0,1.07,54.56,0,1.07,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,0,4.02,2.68,0,2.68,0,73.62,0,0,0,42.83,48.19,0,0,14.72,4.02,0,34.8,2.68,0,0,0
3Month,0,0,0.96,0,0,0,0.96,0,3.84,0.32,0,0.32,0.32,0.64,0.64,4.8,0.32,0,0,0,2.88,0,0,0,0.32,9.6,3.2,0,0,5.12,0.64
22Month,0,0.55,1.64,1.09,0,0.55,1.64,1.64,15.31,0.55,0,2.73,0,0,2.19,4.37,0,1.64,0,0.55,2.73,0.55,0,0,0,22.96,20.23,0,0,0,0.55
