stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,1.07,1.07,0
21Day,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0.64,0.32,0,0.32,0,0,1.28
22Month,0.55,0.55,0,0,1.09,0.55,0,0,0,0
