stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,8.03,1.34,0,0,2.68,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0,2.56,2.88,0.32,0.32,0.32,1.28,1.28,9.28,1.92,256.6,0.32,0.32,0.32,3.2,0.32,0.96,0,0,0.64,0.32,0,0,2.56,0.32,0,6.08,1.28
22Month,0,5.47,1.09,0,1.09,0,0.55,0.55,16.4,0,35.53,0.55,0,0,1.64,0,0.55,0,0,0,0.55,0.55,0,12.03,0,0.55,0.55,0
