stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,5.35,0,0,0,0,0,1.07,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,2.68,0,0,1.34,0,0,2.68,0,0,1.34
3Month,0.32,0.64,2.56,0.32,0.32,1.28,5.76,0.96,2.24,0.32,1.28,3.2,1.28,0.32,1.28,0.64,0,0,0.32,0,0.64,0.32,133.42,0,109.42,1.92
22Month,0,0,0,0,0,0.55,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,20.23,0,0.55,0
