stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,16.35,89.9,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,6.42,8.56,0,0,0,3.21,0,2.14,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,1.34,4.02,0,0,0,0,0
3Month,0,1.28,1.28,10.88,0,0.96,2.88,0,11.52,5.12,4.8,0.64,5.44,1.6,4.8,0.64,0,0.64,0.96,0.96,0,0.32,0.32,0,0,5.12,656.22,0,0.32,2.24,57.27,2.88
22Month,0.55,0,1.64,5.47,0,1.09,6.56,8.75,47.01,1.64,4.37,1.64,1.64,2.19,4.92,0,0.55,0,1.09,0.55,0,0.55,0,119.17,0.55,0.55,123.54,1.09,0,0,0,0.55
