stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,7.49,7.49,1.07,3.21,0,0,1.07,0,0,0
21Day,1.34,2.68,1.34,0,0,1.34,0,0,1.34,0,2.68,2.68,0,0,6.69,6.69,0,1.34,0,2.68,0,0,0,2.68
3Month,0,2.88,0,0.32,0.64,0.32,3.52,0.32,0.32,1.6,0.32,0.32,0.32,0.64,0.96,0,0,0,4.16,0,0,0.32,3.84,0.96
22Month,0,1.64,0,0,0,0.55,6.56,0,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0.55
