stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,28.6,0,0,0,0,0,16.35,0,0,0,0,0,20.43,4.09,28.6,0,0,0,0,8.17,93.99,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,7.49,0,0,0,0,0,0,0,0,0,3.21,7.49,0,3.21,0,1.07,0,0,5.35,6.42,0,0,0,1.07,0,4.28,0,0,0,0
21Day,0,0,0,30.79,1.34,0,2.68,0,0,0,1.34,0,1.34,0,1.34,8.03,1.34,6.69,0,0,1.34,0,4.02,5.35,0,0,0,0,2.68,2.68,1.34,0,0,0
3Month,0.96,0.96,0.96,32.63,0,0,0,2.24,0.32,0,8.64,2.56,0.32,10.24,3.2,5.12,2.56,3.2,0.32,0,0.96,0.64,0,0.32,0.32,0.96,0,1.6,148.78,0.32,0,1.28,15.68,1.28
22Month,0,0,0,5.47,0,1.09,0,1.09,0,0,8.2,1.09,0.55,5.47,0,0,2.19,0.55,0,0.55,0,0.55,0,0,0,1.09,1.09,1.09,49.75,0,0,0,0,0
