stage,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,6.42,4.28,0,1.07,0,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,0,0,0,2.68,95.04,0,0,1.34,0,0,1.34,0,1.34,1.34,0,1.34,1.34,0,0,0
3Month,0.64,4.16,0.32,0.32,1.92,0,4.16,1.6,0.32,1.6,0,4.16,8.96,146.22,2.24,0.96,1.28,0.32,0.32,0,0,0.32,0.96,6.4,0,0,0.32,1.28,0
22Month,0.55,0.55,0,0,0.55,174.93,8.2,0,0,2.73,0.55,1.09,7.11,27.33,0.55,0,0.55,0,0,0,0.55,0,0,1.09,0,0,0,0,0.55
