stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,0,2.14,0,0,2.14,0,0,77.02,1.07,2.14,0
21Day,0,0,0,0,0,0,0,32.12,0,1.34,0
3Month,0.32,0.64,0.32,0.96,0,0.32,0.32,0.32,0,0,0.64
22Month,0,0,0.55,0.55,0,0,0,0,0,0,0
