stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,4.09,4.09,0,0,0,0,0,8.17,0,0,0,0,4.09,12.26,4.09,53.12,0,0,0,8.17,147.11,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,2.14,0,0,0,0,0,0,0,1.07,0,0,18.19,0,2.14,0,0,0,22.47,9.63,0,0,1.07,0,0,1.07,0,0,0,0
21Day,2.68,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,4.02,0,0,0,6.69,2.68,0,0,6.69,1.34,1.34,0,1.34,8.03,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0.32,0
22Month,0,6.56,2.73,12.03,0,0,1.64,4.37,22.96,12.03,0,74.89,7.65,0.55,7.11,0,4.37,4.92,12.57,7.11,2.73,1.64,1.09,0,2.19,1678.78,0,0,4.92,1.64,2.73,0,0,6.01
