stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,9.63,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,1.34,2.68,0,0,0,0,4.02,0,0,0,0,0
3Month,4.16,8.96,0,23.04,0,2.56,7.04,0.96,0,16.64,3.84,0.32,5.12,0.64,4.8,5.44,6.4,0.32,0,1.28,0.32,0,237.08,25.92,5.12,0.64,4.8,116.78,0,16,0,2.24,0.96
22Month,1.09,21.32,4.37,96.76,0.55,4.92,2.73,9.29,3.28,72.71,4.92,1.64,5.47,0.55,15.85,19.68,56.85,0.55,3.83,2.19,0,2.73,256.93,38.81,2.19,1.09,4.92,313.78,2.73,21.32,0.55,0,1.64
