stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,20.43,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,2.14,0,0,0,0,0,1.07,1.07,0,2.14,0,0,202.19,6.42,0,1.07,4.28,0,2.14,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,4.02,0,1.34,0,0,37.48,4.02,0,1.34,0,0,0,1.34,0
3Month,0,0,0,0,0,0,3.2,0.64,0.64,0,0,0.64,2.56,0.64,0,0,0,0,0,0,0.32,0,0,0.64
22Month,0,2.19,0,0,1.64,0.55,17.49,0,2.19,0,0.55,1.64,1.09,0.55,0.55,0,0,0.55,0,0.55,0,0,0,0
