stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0
3Month,0.64,0.64,18.24,0,0,0.32,0,7.36,0.64,0.32,1.28,11.2,3.84,0.64,1.6,0,0,0.64,0.32,0,0.32,5.44,0.32,20.16,0.96
22Month,1.09,0,4.92,0.55,0,0,0.55,10.93,0.55,0,0,1.09,0.55,0.55,0,0.55,0,0,0,0,0,1.64,0,0,1.09
