stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,4.09,0,32.69,0,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,1720.38,8.17,143.02,0,0,0,0,0,0
72hpf,0,0,42.79,2.14,18.19,0,0,0,1.07,0,0,3.21,4.28,1.07,8.56,1.07,0,1709.53,89.86,67.4,8.56,0,18.19,2.14,2.14,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,0,0,0
3Month,0,0,1.92,0,0,0.64,0,0,3.2,0,0.96,0,0.64,0.32,0.64,0,0.32,0.96,0.32,0,0,11.2,0,0,0,0.96
22Month,0,0.55,0.55,0,0,0,1.09,1.09,7.65,0.55,1.09,0,0.55,0,0.55,0,0,0,1.09,0,0,20.77,0,0,0,0
