stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,3.21,0,1.07,0,0,0,6.42,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,26.77,1.34,4.02,0,0,0,4.02,4.02,2.68,40.16,0,9.37,1.34,10.71,0,1.34,0,13.39,4.02,1.34,0,1.34,1.34,1.34,1.34,0,0,1.34
3Month,0.32,0.64,0.96,13.76,0,0,1.28,1.92,0,48.31,1.28,0,80.95,0.96,5.12,0.64,6.4,2.24,1.6,1.92,0.64,0.32,0.64,0.32,1.28,5.44,0,0,1.28,4.48,0
22Month,0.55,0,0,0.55,0,0,0,0.55,1.09,36.63,0.55,0,56.31,0.55,0,0,3.83,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
