stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,2.56,0.32,0.64,0,2.24,0.32,0,1.28,0,0.32,0,0,0.32,0,1.6,0.32,0
22Month,0.55,1.64,0,0.55,0.55,31.71,1.64,0.55,1.64,1.64,1.64,1.09,1.09,0,0.55,0.55,0,1.09
