stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,23.54,5.35,0,24.61,50.28,93.07,0,5.35,0,0,0,1.07,0,3.21,0,81.3,44.93,3.21,1473.1,4.28,0,1.07,301.68,142.28,1.07,1.07,78.09,0,0,29.95,11.77,4.28,3.21,0,0
21Day,48.19,4.02,10.71,147.24,5.35,137.87,0,12.05,4.02,8.03,1.34,42.83,1.34,56.22,28.11,2.68,66.93,21.42,623.76,2.68,14.72,0,250.31,109.76,6.69,5.35,64.25,42.83,4.02,22.76,9.37,22.76,5.35,1.34,26.77
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0.32,0
22Month,0,0.55,0,0,0,0,0.55,0,0.55,0,0,3.83,0.55,0,0.55,0,0.55,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,1.64
