stage,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.96,0,0.32,0.32,0,0,0,0.32,0
22Month,1.09,4.92,0,0,1.09,0,0,0.55,0,0.55
