stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07
21Day,0,1.34,4.02,4.02,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0.32,0.32,0
22Month,0.55,1.09,0,0,0.55,7.11,1.64,1.09,1.09,0.55,0,0
