stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,3.21,1.07,7.49,1.07,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,4.02,1.34,0,0,0,0,36.14,0,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,1.6,0.64,0.32,18.56,0,4.8,43.19,0.96,1.6,1.6,17.92,0.96,0.64,0,0.96,0.96,0.96,0,0.64,0,2.88,8.64,0,0,0.32,4.8,10.56
22Month,0.55,0.55,0,0,54.67,1.09,7.11,29.52,1.64,0.55,0,18.04,0,0,0.55,0,0,0.55,0,0,0.55,0,0.55,0.55,0,0,0,7.11
