stage,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Muscle_cell
72hpf,0,0,1.07,0,0,0
3Month,0.32,0.32,0,0.64,0,0.32
22Month,0,0,0,0,0.55,0
