stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,1.34,4.02,0,0
3Month,0,0.32,0.32,0.32,0,0,1.92
22Month,0.55,5.47,0.55,1.09,0,1.64,0
