stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,1.6,0.32,0.32,0,0,3.2,0.32,0,1.92,0.32,0.64,0,0,0,0,0,0,0.64,0,0.64,0.96
22Month,0,0.55,1.64,6.56,0,0.55,2.73,3.28,79.81,0.55,0.55,3.83,0,2.73,3.28,1.64,2.73,1.09,0,0,0,0.55,0,2.73
