stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,28.6,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,32.69,12.26,24.52,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,9.63,0,0,0,0,0,0,0,0,0,0,0,1.07,52.42,0,11.77,0,1.07,0,0,7.49,6.42,0,0,16.05,0,0,0,8.56,0,0,3.21,0,0,0
21Day,2.68,1.34,0,52.2,1.34,0,0,2.68,0,0,0,0,4.02,6.69,1.34,4.02,28.11,8.03,16.06,0,0,2.68,0,4.02,2.68,0,0,9.37,2.68,0,1.34,6.69,0,2.68,1.34,0,0,1.34
3Month,0,0.64,0.32,30.72,0,0,0.32,22.4,5.44,0,0,10.56,40.63,0.32,7.68,1.6,1.92,3.84,5.44,0.64,0.32,2.24,1.28,0.32,0,1.28,0.32,0,0,0.32,3.52,0.96,0,0,0.96,2.56,2.24,2.24
22Month,0.55,0.55,0,9.84,0,0.55,0,10.93,7.65,2.19,0,20.77,20.23,1.09,9.84,0,1.09,5.47,1.64,0,0,1.64,0,0,0,2.73,0.55,0,0,0,2.19,0,0.55,0,0,0.55,0,1.09
