stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,5.35,0,38.51,4.28,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,1.34,0,0,2.68,0,1.34,0,0,0,17.4,1.34,0,156.61,4.02,1.34,1.34,13.39,4.02,0,0
3Month,0.32,2.24,0,0,0,0,0,5.44,0.96,0,1.92,0,0.96,0.96,1.28,0.32,0,0.64,0,0,0,29.76,0,0.64,2.56,0.64,0,14.4,1.28
22Month,0,1.64,0,1.09,1.09,3.28,1.09,19.13,0.55,0.55,2.73,0,0.55,1.09,1.09,0,0.55,0,0,0,0.55,24.05,0,0,1.64,0,0,0,0
