stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,4.09,0,0,8.17,8.17,0,8.17,0,0,0,65.38,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,2.14,0,1.07,14.98,0,4.28,13.91,0,1.07,1.07,0,0,6.42,1.07,0,0,0
21Day,4.02,0,0,2.68,0,0,0,0,0,0,0,9.37,1.34,0,1.34,0,0,2.68,1.34,0,0,2.68,2.68,0,0,0
3Month,0,0.32,0,2.24,0,0,0.64,0,0,21.76,0.64,0,0.32,0,0.64,0.32,0.32,0,0,0.32,0,0,2.24,4.48,0.32,0.32
22Month,0.55,2.19,1.09,5.47,0.55,1.64,1.64,1.09,0,36.63,1.64,0.55,0,2.19,6.01,2.19,0.55,0,0,0,78.72,0,0.55,4.92,0,0.55
