stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,0,20.43,0,0,0,0,0,0,0,0,0,0,12.26,4.09,16.35,0,0,28.6,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,20.33,3.21,0,4.28,1.07,0,0,0,0,0,0,0,0,0,9.63,1.07,4.28,0,3.21,6.42,0,0,4.28,0,0,0,0,0,0,0,0
21Day,38.82,0,0,30.79,0,1.34,0,0,0,0,0,0,1.34,0,24.09,0,16.06,12.05,4.02,0,0,0,5.35,2.68,0,0,1.34,1.34,0,0,0
3Month,0.32,0.32,0,7.68,0,0,0.32,0.32,0,4.48,0.64,0,4.48,0.64,4.8,0.64,2.56,0.96,0,0,0.32,0.96,0,0,2.24,0,0,0,0.64,1.6,0.64
22Month,0,0,0.55,0.55,0,0,0,1.09,0.55,3.83,0,0.55,0.55,0,0.55,0.55,3.28,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.55
