stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,24.52,4.09,0,4.09,0,0,16.35,8.17,32.69,4.09,257.44,4.09,8.17,0,0,0,0,0
72hpf,0,0,2.14,0,1.07,0,0,1.07,3.21,0,4.28,10.7,9.63,0,2.14,0,0,3.21,1.07,0
21Day,1.34,0,0,0,0,0,1.34,0,2.68,0,6.69,1.34,4.02,0,0,1.34,0,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32
