stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,6.69,0,0,0,1.34,13.39,2.68,0,0,0,1.34,0,0,0,2.68,0,0,0,0
3Month,0,0.64,0.96,1.92,0,0,0.32,0,137.58,0.32,0.64,1.28,0.96,6.08,1.28,0.64,1.28,0,0,0.32,0,0,3.84,1.28,0,0.32,0
22Month,0.55,0.55,0.55,3.28,3.83,0.55,1.64,0.55,1278.63,1.64,4.37,0.55,0.55,11.48,2.73,22.41,0,0,1.09,3.28,0.55,0,1.64,5.47,0.55,0,2.19
