stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,4.09,0
72hpf,3.21,0,0,1.07,7.49,0
21Day,36.14,2.68,1.34,0,10.71,1.34
