stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,32.69,0,0,0,0,0,0,314.65,0,0,0,0,8.17,28.6,0,40.86,0,0,0,0,0,114.42,0,0,16.35,0,0,0,0,0,65.38,0,0,0
72hpf,0,0,0,4.28,48.14,1.07,0,0,0,0,0,0,0,0,0,1.07,33.16,0,12.84,0,1.07,0,1.07,117.68,8.56,3.21,2.14,9.63,0,2.14,1.07,0,1.07,128.37,0,0,0
21Day,6.69,1.34,0,4.02,32.12,1.34,0,0,0,0,0,0,0,2.68,0,0,9.37,1.34,5.35,0,0,0,0,78.97,1.34,4.02,5.35,8.03,1.34,0,4.02,0,13.39,17.4,1.34,0,2.68
3Month,1.28,0.64,0,6.08,11.52,0,0.64,0.32,0,0,0,7.04,0.32,0,1.6,2.56,2.24,0.32,8.64,0.32,0,0.32,0.32,0.64,0,17.6,3.2,0,0,21.44,0.32,0.32,0,0.96,0.32,9.92,0
22Month,0,0,1.09,1.64,6.56,0,0,2.19,0.55,5.47,0,11.48,0,0,7.65,0.55,1.64,0.55,2.73,0,0.55,0.55,0,3.83,0,8.75,6.01,0,0,37.72,0,0,0,1.09,0,0,0
