stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,4.02,5.35,0,0
3Month,0.32,0.32,0.64,0.64,1.6,0.32,0.32,0.32,0.32,0,0,0.32,0.32,7.36,0,0,95.02,0.64
22Month,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
