stage,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,7.49,2.14
21Day,0,0,0,6.69,0
3Month,0.64,0,0,0,0
22Month,0,0.55,0.55,0.55,0
