stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,20.33,0,0,0,0,0,0,0,0,0,63.12,0,1.07,0,3.21,1.07,0,0,0,0,0,0,0
21Day,1.34,0,20.08,2.68,0,0,1.34,0,0,1.34,1.34,0,38.82,2.68,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0,0.32,6.4,0,0,0.32,5.76,2.56,24.64,0,0.96,0.32,34.23,5.12,0.64,0,0,0,0.32,0.32,1.28,0.64,0.32,0.32,0.32
22Month,0,0,2.73,0,0.55,0,18.59,12.03,12.03,0,1.64,0,9.84,4.92,2.19,1.09,0,0,0,0,0.55,0,0,0,0
