stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,116.61,1.07,2.14,0,0,2.14,0,0,0
21Day,4.02,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,62.91,2.68,0,2.68,1.34,1.34,2.68,0,0
3Month,0,0.32,0,1.6,0,0.32,0.32,1.28,2.24,0.64,0.32,0.64,0.64,0,0.32,0.32,0.32,0,0,0,0.96,0,0,4.16,0.32
22Month,0,0,0,0,0,0,0,1.64,12.57,0.55,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0,0,0,0.55
