stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,7.49,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,1.34,0,0,0
3Month,0,2.24,0.32,0.64,1.6,0.32,0,0.96,0.96,0.64,1.6,0,0,0.64,0,0,0.32,0.64,0.96
22Month,1.64,0.55,0,1.64,13.67,0.55,0.55,2.73,0.55,1.09,2.73,0.55,0.55,1.64,0,0,0,0,0
