stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,20.43,0,106.25,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,5.35,1.07,0,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,0,0,3.21,17.12,0,0,2.14,0,0,11.77,3.21,0,0,0,0
21Day,0,0,1.34,6.69,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,0,1.34,4.02,2.68,0,0,1.34,0,2.68,4.02,1.34,0,0,0,0
3Month,0.64,2.24,85.11,2.88,0,0.32,0.32,0.96,2.88,0,25.28,5.44,0.64,5.76,33.59,4.8,4.48,6.4,0,0.32,7.68,4.16,0.64,3.2,0.32,0.32,3.52,19.2,0.32,0,2.24,1.92,1176.45,5.12
22Month,0,0,22.96,0.55,0,0,0,0,1.64,0.55,5.47,0.55,0,2.73,3.83,0,0.55,1.64,0.55,0.55,0,1.09,0,0,0,0,0,6.01,0.55,0,0,0,6.01,0.55
