stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,1.34
3Month,0.64,0,0,0,0.96,0,0.96,0.32,0,0,0,0,0,1.28,0
22Month,0.55,1.09,0.55,0.55,7.65,0.55,1.09,0,0.55,0.55,0,0,1.09,6.56,10.39
