stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,331,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,72.75,0,2.14,0,0,0,1.07,1.07,3.21,1.07,0,0,1.07,0,0
21Day,44.17,0,1.34,0,0,0,2.68,2.68,0,0,0,0,0,0,0
3Month,0.32,0,0,0.32,0.64,0,0.32,0,0,0,0.32,2.24,0,0.32,0.96
22Month,0,0,0,0.55,4.37,0.55,0,0,0,0,0.55,0.55,0,0.55,0
