stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,0,2.24,0.64,0.64,1.28,0.32,0.64,0.32,0,0,0,0,0.96,0.32
22Month,0,0,1.64,0,17.49,0,0,0,0,0,0,0.55,0.55,0,0
