stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,53.12,12.26,0,0,8.17,0,0,4.09,0,0,0,0,0,0,420.9,0,0,0,28.6,36.78,0,0,0,0,0
72hpf,79.16,0,4.28,0,0,0,0,0,0,0,0,2.14,0,0,11.77,0,1.07,1.07,10.7,3.21,0,0,1.07,0,0
21Day,60.23,2.68,0,1.34,0,0,0,0,0,0,0,2.68,1.34,0,0,0,4.02,0,0,4.02,0,0,1.34,0,0
3Month,29.44,2.88,0,0,0,0.32,0.32,0,2.56,0,1.28,0,0.32,0.64,0.64,0,3.84,0,0.32,0.32,0.32,0.32,0,1.28,0.32
22Month,36.63,1.64,0,0,0,0,0.55,0,11.48,1.64,1.64,0,0,0.55,0,0.55,9.29,0,0,0,0,0,0,0,0
