stage,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0
72hpf,1.07,0,8.56,0,0,0,0
21Day,0,0,4.02,0,0,0,0
3Month,0,0,0,0,0.32,0,0.64
22Month,0,0.55,0,0,0,0.55,0
