stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,16.35,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,3.21,7.49,0,0,0,0,0,0,0,0,0,2.14,12.84,0,4.28,0,2.14,0,46,10.7,1.07,1.07,7.49,0,0,4.28,1.07,0,2.14,0,0,0
21Day,5.35,2.68,1.34,8.03,6.69,0,1.34,0,1.34,0,0,0,1.34,0,2.68,4.02,4.02,18.74,0,0,0,20.08,5.35,0,0,10.71,0,0,0,1.34,5.35,0,0,0,0
3Month,0.32,1.28,0,7.68,0,0.96,0.32,0.96,1.28,0,11.2,0,0.64,9.6,2.88,1.28,4.16,2.56,0.64,0.96,1.6,0.64,0.32,0.96,0,0.32,1.28,17.92,0,0.32,0,0.32,3.2,15.04,1.28
22Month,0,0,0,2.19,0,0,0,0,0,0.55,23.51,0.55,0,1.64,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
