stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,1.07,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0
21Day,0,5.35,2.68,1.34,1.34,0,0,0,0,0,0,0,6.69,0,4.02,1.34,2.68,0,0,0,0,2.68,0,0,0,4.02,0,1.34,0,0,0,0
3Month,0,16.96,11.84,0,0,1.92,12.16,3.2,0,119.98,3.84,0.96,374.02,0.32,1.6,2.56,5.76,0.64,0.32,0.64,2.56,0.96,0,0.64,0,0.96,3.52,77.75,0.64,0.32,47.03,3.52
22Month,1.64,20.77,5.47,0,0,0,14.21,4.37,2.19,119.17,0,0.55,533.53,0,1.09,3.28,3.28,0,2.73,0.55,0,0.55,0,2.73,0.55,0.55,0,11.48,0,0,0,0
