stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,8.17,0,0,0,4.09,4.09,4.09,0,0,0,20.43,845.89,0,0,0,0,4.09
72hpf,0,1.07,0,0,0,0,0,0,0,6.42,1.07,3.21,0,0,1.07,133.72,116.61,0,3.21,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,14.72,8.03,0,0,0,1.34,0
3Month,0,0,0,0.32,0,0,2.24,0.32,0.64,0,0,0,0.32,0,0,0,0,1.28,0,0,0,0
22Month,0,0,1.09,0,0.55,0,48.11,0,5.47,0.55,0,1.09,0,2.19,0,0.55,0,6.56,0,1.64,0,0
