stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,8.03,0,0,0,0,0
3Month,0,0.32,0.32,10.88,0,0.32,2.56,0.96,11.52,3.52,0.32,4.8,0.32,2.56,4.16,79.35,0,0.96,1.28,0.64,0.32,1.6,0,0,0,5.44,602.78,0.96,0.32,3.84,141.42,2.56
22Month,0.55,0.55,0,2.73,0,0,0.55,1.09,127.92,0.55,0,2.73,0.55,0,2.19,6.01,2.19,0,0,0,0,0,0.55,0.55,0.55,0,95.12,1.09,0,0,1.09,0
