stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,2.68,0,0,0,0,0,6.69,0,0,2.68,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68
3Month,0,0.32,24,7.04,0,1.28,8.64,1.6,0,195.49,2.56,0.32,88.31,0.96,0.64,2.56,2.56,0.64,0,0.96,12.48,0.32,0,1.6,0.32,0,0.32,0.64,3.52,0,0,0.64,24.64,25.92
22Month,1.64,0,19.68,9.84,0,2.19,31.16,6.01,1.64,1266.6,2.19,0.55,183.13,0,1.09,5.47,7.65,0,25.69,0.55,0.55,0,0,2.19,1.64,0.55,0,1.09,8.75,0.55,0,0,1.09,6.01
