stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,0,0,0,0,0,0,0,0,0,1.07,31.02,0,2.14,0,9.63,0,0,2.14,8.56,0,0,0,1.07,1.07,0,0,0,0,0
21Day,0,0,1.34,33.46,0,0,0,0,0,32.12,0,0,1.34,1.34,10.71,1.34,2.68,0,1.34,0,0,8.03,8.03,0,0,0,1.34,1.34,0,0,2.68,0,0
3Month,0,0.96,0.64,9.28,0.64,0.32,1.6,1.92,0.32,284.43,2.24,0.64,2.24,2.24,5.76,3.2,2.88,0.32,1.28,1.92,4.16,0,0.32,0.32,0.32,0,0,6.08,1.28,0,0,0.32,1.6
22Month,1.09,0.55,1.64,8.75,2.19,0,10.39,5.47,4.37,557.59,1.09,0.55,2.19,0.55,2.73,2.73,4.37,1.09,18.04,0.55,0.55,0.55,0,1.64,0,0.55,0,1.09,0,0.55,0,0,1.64
