stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,28.6,0,0,0,0,4.09,138.94,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,5.35,1.07,7.49,0,1.07,0,0,14.98,9.63,1.07,4.28,0,0,1.07,0,0,0
21Day,1.34,0,0,6.69,0,2.68,0,2.68,0,0,2.68,0,0,0,0,1.34,0,5.35,0,0,0,0,2.68,9.37,0,4.02,4.02,0,0,0,0,2.68
3Month,0,0.96,0.32,13.76,0,0,0.64,0.32,1.28,2.24,34.23,3.2,0.32,5.44,0.64,4.48,4.8,3.84,1.6,0,0.64,2.24,0.32,0,0.32,0,1.28,9.6,0.32,0.32,4.16,4.48
22Month,0,0.55,0,1.64,0,0,0,0.55,0,2.19,30.61,1.64,1.64,0.55,0,0,2.73,3.83,0,0.55,0.55,0,0,0,0,0,0,1.09,0,0,0.55,1.64
