stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,0,0
72hpf,0,0,2.14,0,1.07,3.21
21Day,1.34,0,1.34,4.02,0,4.02
