stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,28.6,0,0,0,0,4.09,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,12.84,0,23.54,2.14,26.74,1.07,0,0,2.14,0,0,0,0,1.07,0,6.42,47.07,8.56,60.98,0,1.07,1.07,1.07,4130.46,201.12,4.28,74.89,69.54,0,0,2.14,212.89,9.63,4.28,1.07,0,0,0
21Day,12.05,20.08,0,34.8,1.34,42.83,5.35,0,1.34,0,0,0,6.69,5.35,8.03,6.69,1.34,20.08,5.35,56.22,0,0,12.05,0,1238.14,62.91,4.02,65.59,54.88,24.09,0,6.69,119.13,10.71,17.4,4.02,0,0,8.03
3Month,0.32,6.72,0.32,10.88,0.32,0,0.32,0,2.88,3.2,0.32,0,13.76,5.76,0,7.68,0.96,5.12,1.92,6.4,1.92,0.64,0.32,0,3.52,0.32,2.56,0.96,0,0.32,0.32,42.23,0.32,0,0,0,0.64,41.59,1.28
22Month,0,24.05,0.55,4.92,0,0,0.55,0.55,0,5.47,2.19,0,51.39,3.28,1.09,6.56,0.55,2.19,7.65,7.65,0,1.64,0.55,0.55,1.09,0.55,1.09,0.55,0,0.55,0,7.11,0.55,0,0,0,1.09,0,0
