stage,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,4.09,0,4.09,0
72hpf,0,0,0,18.19,2.14,0
21Day,0,0,2.68,5.35,1.34,1.34
3Month,0.32,0.32,0.32,0,0,0
22Month,0,2.19,0,0,0,0
