stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,28.6,0,0,16.35,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,10.7,0,0,0,0,0,0,4.28,0,0,0,5.35,0,1.07,0,0,0,0,1.07,0,0
21Day,0,5.35,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,4.16,0.32,0.32,0,0.96,0.32,0,0,0.32,5.12,0.32,0,0,0.32,0,0,0.64,3.84,0,0.64,0.64
22Month,0.55,2.73,0,0.55,0,7.65,0,0.55,0,0,0.55,0,0,0,0.55,15.31,0.55,0,20.23,0,0,0
