stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,2.14,5.35,0,0,0,0,0,0,6.42,11.77,0,8.56,0,0,0,0,331.64,8.56,1.07,16.05,1.07,0,0,37.44,0,0,2.14,0,0,0
21Day,1.34,0,8.03,5.35,0,0,0,0,0,0,1.34,4.02,0,6.69,0,1.34,0,0,143.22,8.03,0,2.68,4.02,2.68,0,5.35,2.68,2.68,0,0,0,1.34
3Month,0.64,0,3.2,0,0,0.32,0.32,4.48,0.64,1.6,0.32,0.64,0.96,1.6,0.32,0,0,0.32,0.32,0.32,10.24,2.24,0.32,0.64,2.88,0.32,0.32,0,0,0.32,1.28,0
22Month,0,1.64,1.64,0,0.55,4.37,1.09,30.61,0,3.28,0,0,1.64,4.37,0,0,0.55,0,7.11,0,9.84,2.19,0,0,14.76,0,0.55,0,0,0,0,0
