stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,261.53,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,89.9,0,8.17,0,0,0,0,0,0,0
72hpf,41.72,1.07,0,0,0,0,0,0,99.49,0,35.3,0,1.07,14.98,29.95,1.07,38.51,0,0,29.95,0,0,0,0
21Day,2.68,1.34,1.34,0,0,1.34,1.34,0,2.68,4.02,29.45,0,0,1.34,4.02,1.34,6.69,2.68,0,9.37,0,0,0,0
3Month,1.28,0,0,0.96,0.64,0,0,0.32,0.32,0.96,32.95,16.32,0.96,0,0.32,0,0.64,0.64,1.92,0.64,0.32,0.32,1.28,0.32
22Month,0,0,0,0,2.19,0,1.64,0,0,0,4.37,0.55,0,0,0,0,0,0,0.55,0.55,0,0,0,0
