stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,1.34,0,957.05,22.76,0,4.02,0,0,1.34,0,1.34,1.34,0,2.68,0,6.69,0,0,0,8.03,4.02,0,5.35,0,20.08,1.34,0,0,1.34
3Month,0,10.88,483.12,0,0.32,0,2.88,4.48,9.28,3.2,0.32,16.96,1.28,24,3.52,16,0.96,0.64,0.32,0.32,0,0.64,0,5.12,0,0,2.24,1.6,3.84
22Month,0,1.09,30.61,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,6.01,0,0,0,0,0
